date,rating,review,year,month,weekday
2025-07-20,7,peculiar robert pattinson em atuao espetacular bem fora que estamos acostumados se com mente aberta vai curtir histria e modo como contada,2025,7,6
2025-07-22,8,poor mickey,2025,7,1
2025-07-22,3,gusto mucho la verdad,2025,7,1
2025-07-22,10,deus abencoe swing neeeh,2025,7,1
2025-07-22,9,que filme timo apesar de tratar de assuntos infelizmente muito atuais tem um ar tao aconchegante e de pureza com narrao mickey 17 achei de um conforto absurdo fez querer que filme acabasse,2025,7,1
2025-07-22,4,need start colonizing planets search sauces asap pattinsons performances enjoyable fun concept antagonists top ridiculous seemed like joke bird costume need answers,2025,7,1
2025-03-11,6,robert pattinson fez uma voz engraada,2025,3,1
2025-07-22,7,isso tudo por que muie nao quis dividir,2025,7,1
2025-07-22,5,wanted like,2025,7,1
2025-07-22,8,si gust ya tiene tiempo que la vi relativamente podra verla de nuevo robert pattinson diosss,2025,7,1
2025-07-22,8,robert pattinson save mesave robert pattinson everyone movie hot need mickey 17 18 biblically boaf,2025,7,1
2025-07-20,7,issues sets ups without pay offs especially characters invested beginning endr patz phenomenal,2025,7,6
2025-03-21,6,um dos mais fracos diretor,2025,3,4
2025-07-22,5,gostei da histria mas achei meio ruim geral talvez livro seja melhor,2025,7,1
2025-07-23,7,ca vla maxer en sah mais ctait cool change des gros budget americains,2025,7,2
2025-07-22,6,disappointing overly long tried way much core idea movie good interesting gets lost mess ideas really bad final third movie goes far longer somewhere theres great movie think ambition got better,2025,7,1
2025-07-23,6,je mattendais mieux,2025,7,2
2025-07-22,7,mickey 17 really fun watch really enjoyed performance main actors feel villain could bit less cartoony loved lot comedic moments performances throughout movie,2025,7,1
2025-07-23,7,still dont understand 18 woke choosing violence,2025,7,2
2025-07-23,5,movie really intriguing concept execution fell flat story couldve much tighter simply focused taking us 18 mickeys sequence starting first ending last exploring personality shifts iteration briefly touch idea every mickey different personality dont go deep enough feels like missed opportunity subplot involving,2025,7,2
2025-07-22,6,,2025,7,1
2025-07-22,6,weird liked,2025,7,1
2025-07-22,8,fun watch,2025,7,1
2025-07-22,6,achei ideia filme legal mas teve um momento que j queria q acabasse,2025,7,1
2025-07-22,8,damn wish voice head turned real life psychotic clone self,2025,7,1
2025-07-22,8,first movie ive watched months excellent love u bong joon ho rpatz excellent weird loved,2025,7,1
2025-07-22,6,airplane never bong joon hos shortfilm influenza guess okay,2025,7,1
2025-07-22,7,whoever told watch underestimated low bar would bedridden could stream free,2025,7,1
2025-07-23,6,soooo threesome,2025,7,2
2025-07-22,8,extra star robert pattinsons accent fine time,2025,7,1
2025-07-22,6,also fell asleep movie theater bc high liked concept execution,2025,7,1
2025-07-22,5,close disappointing movie ive ever seen,2025,7,1
2025-07-16,7,impressed good robert pattinson played role think lil long movie interesting really nice plot even though wtf type movie liked,2025,7,2
2025-07-22,8,surprisingly good funky odd really good underlying comments politics,2025,7,1
2025-07-22,8,weird penis looking mens,2025,7,1
2025-07-22,4,muy colgada el inicio gust el concepto de buscar una nueva vida sin miedo morir una otra vez con un toque cmico pero hasta cierto punto sin sentido en lo personal aporto nada distinto otra pelcula taquillera dominguera un poco predecible egocntrica un mal copy de mars attack,2025,7,1
2025-07-22,9,much think little write never freaking know bong joon hos movies gonna go every time think ah get thats headed get thrown curveball swings directions im legitimately impressed creativity im taking half star story quickly turned caricature purpose im aware think wouldve enjoyed little bit character substance overall honestly question preference anything also mark ruffalo robert pattinson excellent actors im impressed,2025,7,1
2025-07-22,6,liked mise en contexte got predictable lost,2025,7,1
2025-07-22,9,eu realmente gostei desse filme achei algo realmente louco jeito q eu gosto assisti ele cinema com minha namorada e ela gostou kskskks,2025,7,1
2025-07-22,7,ainda terminei de ver porque filme muito longo e comea ficar bom da metade pro final,2025,7,1
2025-07-22,10,ate,2025,7,1
2025-05-31,7,really fun movie glad saw cant say id watch,2025,5,5
2025-07-19,4,assisti esse durante voo e confesso que dormi em algumas partes mas mt foda n esse negcio de clonar gente,2025,7,5
2025-07-23,8,would love take one babies home,2025,7,2
2025-07-23,8,donald trump vs thousands rollie pollies,2025,7,2
2025-07-22,10,toni colette lost sauce,2025,7,1
2025-07-19,7,speculative odyssey identity death expendability mickey 17 clones compassion ask price humanity,2025,7,5
2025-07-22,7,good watch really underwhelming expected,2025,7,1
2025-07-22,4,acho que eu tava esperando algo completamente diferente disso,2025,7,1
2025-07-22,9,good,2025,7,1
2025-07-22,6,robert pattinson tem teso nele mesmo e fez um filme pra catar ele vraum,2025,7,1
